date,cals,fat,sat,carbs,fiber,sugar,protein,sodium,chol,potassium
4/1/20,1590,76.22,13.579,168.73,31,44.38,68.88,6602,484,3814
4/2/20,1596,59.44,12.347,155.75,28.22,59.73,122.14,4099.83,622,3953.28
4/3/20,1168,67.99,8.432,91.67,28.02,23.76,55.87,751.55,73,3168.26
4/4/20,1505,45.54,8.238,178.5,27,32.07,101.31,1657,492,2942
4/5/20,1549,77.42,23.702,161.14,28.3,30.26,66.28,1991,136,2674
4/6/20,1470,66.11,16.918,133.62,28.65,42.69,100.32,1952.8,388.41,2566.05
4/7/20,1462,67.94,14.627,139.72,27.35,40.95,85.73,2469,354,4826
4/8/20,1275,40.55,10.351,112.44,14.3,23.3,119.42,2508,588,2327
4/9/20,1300,56.66,11.994,111.67,16,34.42,90.39,2837.35,352.18,1365.29
4/10/20,1221,71.75,11.931,82.58,27.64,9.79,66.1,2557.53,302.42,3050.76
4/11/20,1325,47.8,5.936,135.35,28.08,41.01,101.19,2850.24,91.66,2384.2
4/12/20,1606,81.54,15.197,137.27,25.17,22.81,91.8,2186,199,3124.75
4/13/20,1034,39.19,7.261,75.11,9.65,17.84,97.83,3402.5,335.5,1763
4/14/20,1639,90.57,18.346,88.16,10.1,17.37,123.34,1800.68,630.67,2586
4/15/20,964,53.07,7.744,61.8,3.5,25.8,59.48,591,52,1526
4/16/20,831,38.23,8.789,72.91,11.45,12.14,51.97,822,48,1711
4/17/20,1726,68.47,22.768,188.09,15.4,22.55,85.44,4141,461,1053
4/18/20,2007,93.99,30.172,214.04,29.8,57.72,90.7,1663.7,147.64,1739.5
4/19/20,1304,50.07,14.609,134.85,18.1,24.12,83.97,1179,381,1640
4/20/20,1867,86.58,29.455,152.34,23.6,29.94,124.62,4583.12,610.9,2661
4/21/20,1687,78.48,20.556,123.07,24.5,35.1,131.27,2097,408,3072
4/22/20,1146,39.45,8.058,101.13,25.3,45.5,107.54,1949.2,311.21,3538.5
4/23/20,882,32.03,5.398,87.92,10.43,34.46,68.38,1418.56,67,1192
4/24/20,2063,96.78,23.911,195.28,42.47,73.18,137.92,2021.5,623,2923
4/25/20,1478,63.99,12.313,106.09,19.2,22.7,124.47,1991,341,1803
4/26/20,1382,51.72,9.543,165.76,42.74,62.47,79.08,1362.96,30.99,3038.3
4/27/20,1314,49.97,9.89,83.18,23.27,31.64,140.04,2549.18,345.67,2969.25
4/28/20,1309,47.95,10.11,83.51,22.1,25.16,142.86,1901,386,3171
4/29/20,1219,52.19,9.878,85.11,19.8,45.46,109.38,1530,395,2501.5
5/1/20,2130,96.34,29.646,280.88,18.3,40.57,77.84,5127,165,486
5/2/20,1488,67.23,16.639,143.41,19.6,58.72,97.63,2773,633,2412.5
5/3/20,1565,71,13.733,121.82,20.95,35.05,114.42,4331.5,403,2191.5
5/4/20,1398,57.11,14.678,140.39,17.8,50.23,86.97,2870,517,2224
5/5/20,1661,60.64,12.559,141.28,23.1,44.63,136.99,5542,181,2658
5/6/20,1662,56.31,15.262,232.15,12.4,83.39,70.71,2618,179,746
5/7/20,2010,90.2,13.601,169.37,33.9,102.49,144.84,5047,508,2225.5
5/8/20,1619,77.49,30.676,196.06,21.8,108.29,43.71,1001,366.5,1746.5
5/9/20,1508,80.97,22.895,82.15,23.91,29.49,118.14,1470.53,322.5,2537.62
5/10/20,1701,78.08,25.037,171.93,20.3,106.07,89.55,1767,345,2258.5
5/11/20,1033,63.66,21.219,53.25,14.6,12.69,67.54,1226,310,1670.5
5/12/20,1361,61.73,12.479,116,28.27,24.04,95.57,1371.58,295.19,1825.83
5/13/20,1344,69.23,16.914,80.53,21.6,28.87,109.7,1523,597,1475.5
5/14/20,1783,98.96,14.847,118.02,26,57.75,114.65,1002.5,639,3249.5
5/15/20,1350,71.79,14.167,90.32,22.1,30.83,90.89,1880,524,1519.5
5/16/20,1973,89.26,27.559,236.36,10.4,46.6,61.48,3359,175,892
5/17/20,1519,79.89,28.699,170.37,6.6,17.25,27.21,2187.5,142.5,406
5/18/20,1551,55.95,16.808,183.22,38,67.02,99.25,1825,347,2263.5
5/19/20,1561,64.35,7.754,162.09,31.4,64.05,89.81,1121.04,597.76,2197.5
5/20/20,1126,57.23,13.768,104.95,8.5,7.97,48.25,1879.5,80,1071
5/21/20,1407,61.14,11.036,154.61,28.9,45.49,72.46,1801,10,971.5
5/22/20,1500,60.1,14.097,179.16,26.1,42.76,73.74,1725.5,36,1736
5/23/20,449,24.28,5.065,38.73,11.5,8.6,21.63,546,227,964.5
5/25/20,2384,125.28,38.333,258.55,21.8,58.73,67.27,4421,185,1728.5
5/26/20,1039,47.88,10.026,63.8,15.8,13.87,92.01,1915,409,1807.5
5/27/20,1586,57.69,18.691,146.12,10,41.46,123.95,2487,541,1538
